Rank ,Overall ,Team ,Pos
1,Ezekiel Elliott,DAL,RB
2,Le'Veon Bell,PIT,RB
3,Todd Gurley,LAR,RB
4,David Johnson,ARI,RB
5,Alvin Kamara,NO,RB
6,Saquon Barkley,NYG,RB
7,Kareem Hunt,KC,RB
8,Antonio Brown,PIT,WR
9,DeAndre Hopkins,HOU,WR
10,Melvin Gordon,LAC,RB
11,Odell Beckham Jr.,NYG,WR
12,Leonard Fournette,JAC,RB
13,Dalvin Cook,MIN,RB
14,Keenan Allen,LAC,WR
15,Julio Jones,ATL,WR
16,Michael Thomas,NO,WR
17,Devonta Freeman,ATL,RB
18,Davante Adams,GB,WR
19,Christian McCaffrey,CAR,RB
20,A.J. Green,CIN,WR
21,Rob Gronkowski,NE,TE
22,Mike Evans,TB,WR
23,Jordan Howard,CHI,RB
24,Travis Kelce,KC,TE
25,LeSean McCoy,BUF,RB
26,Adam Thielen,MIN,WR
27,Doug Baldwin,SEA,WR
28,Tyreek Hill,KC,WR
29,Joe Mixon,CIN,RB
30,Stefon Diggs,MIN,WR
31,T.Y. Hilton,IND,WR
32,Jerick McKinnon,SF,RB
33,Allen Robinson,CHI,WR
34,Rashaad Penny,SEA,RB
35,Zach Ertz,PHI,TE
36,Derrius Guice,WAS,RB
37,Aaron Rodgers,GB,QB
38,Alex Collins,BAL,RB
39,Derrick Henry,TEN,RB
40,Kenyan Drake,MIA,RB
41,Larry Fitzgerald,ARI,WR
42,Demaryius Thomas,DEN,WR
43,JuJu Smith-Schuster,PIT,WR
44,Deshaun Watson,HOU,QB
45,Brandin Cooks,LAR,WR
46,Jay Ajayi,PHI,RB
47,Russell Wilson,SEA,QB
48,Golden Tate,DET,WR
49,Josh Gordon,CLE,WR
50,Alshon Jeffery,PHI,WR
51,Jarvis Landry,CLE,WR
52,Lamar Miller,HOU,RB
53,Mark Ingram,NO,RB
54,Amari Cooper,OAK,WR
55,Dion Lewis,TEN,RB
56,Marvin Jones,DET,WR
57,Tom Brady,NE,QB
58,Ronald Jones II,TB,RB
59,Jimmy Graham,GB,TE
60,Sony Michel,NE,RB
61,Carson Wentz,PHI,QB
62,Evan Engram,NYG,TE
63,Greg Olsen,CAR,TE
64,Royce Freeman,DEN,RB
65,Kirk Cousins,MIN,QB
66,Cam Newton,CAR,QB
67,Corey Davis,TEN,WR
68,Kyle Rudolph,MIN,TE
69,Tevin Coleman,ATL,RB
70,Delanie Walker,TEN,TE
71,Michael Crabtree,BAL,WR
72,Sammy Watkins,KC,WR
73,Chris Hogan,NE,WR
74,Will Fuller,HOU,WR
75,Marshawn Lynch,OAK,RB
76,Isaiah Crowell,NYJ,RB
77,Carlos Hyde,CLE,RB
78,Kerryon Johnson,DET,RB
79,Philip Rivers,LAC,QB
80,Drew Brees,NO,QB
81,Marlon Mack,IND,RB
82,Cooper Kupp,LAR,WR
83,Tarik Cohen,CHI,RB
84,Nick Chubb,CLE,RB
85,Pierre Garcon,SF,WR
86,Robert Woods,LAR,WR
87,Duke Johnson,CLE,RB
88,Nelson Agholor,PHI,WR
89,Emmanuel Sanders,DEN,WR
90,Andrew Luck,IND,QB
91,Rex Burkhead,NE,RB
92,Jimmy Garoppolo,SF,QB
93,Matthew Stafford,DET,QB
94,Robby Anderson,NYJ,WR
95,Devin Funchess,CAR,WR
96,Chris Thompson,WAS,RB
97,Julian Edelman,NE,WR
98,Marquise Goodwin,SF,WR
99,Jamaal Williams,GB,RB
100,Jordy Nelson,OAK,WR
101,Randall Cobb,GB,WR
102,Trey Burton,CHI,TE
103,D.J. Moore,CAR,WR
104,Jordan Reed,WAS,TE
105,Jamison Crowder,WAS,WR
106,Allen Hurns,DAL,WR
107,David Njoku,CLE,TE
108,Ben Roethlisberger,PIT,QB
109,Jared Goff,LAR,QB
110,Devante Parker,MIA,WR
111,Ty Montgomery,GB,RB
112,C.J. Anderson,CAR,RB
113,Michael Gallup,DAL,WR
114,Patrick Mahomes,KC,QB
115,Kenny Stills,MIA,WR
116,Dak Prescott,DAL,QB
117,Aaron Jones,GB,RB
118,Sterling Shepard,NYG,WR
119,Marcus Mariota,TEN,QB
120,D'Onta Foreman,HOU,RB
121,Devontae Booker,DEN,RB
122,George Kittle,SF,TE
123,Kelvin Benjamin,BUF,WR
124,Calvin Ridley,ATL,WR
125,O.J. Howard,TB,TE
126,Matt Ryan,ATL,QB
127,Rishard Matthews,TEN,WR
128,Dez Bryant,FA,WR
129,Tyler Eifert,CIN,TE
130,Marqise Lee,JAC,WR
131,Derek Carr,OAK,QB
132,Alex Smith,WAS,QB
133,Chris Carson,SEA,RB
134,Mike Williams,LAC,WR
135,Kenny Golladay,DET,WR
136,Corey Clement,PHI,RB
137,Giovani Bernard,CIN,RB
138,James White,NE,RB
139,Martavis Bryant,OAK,WR
140,Josh Doctson,WAS,WR
141,Cameron Meredith,NO,WR
142,Jameis Winston,TB,QB
143,Christian Kirk,ARI,WR
144,Jack Doyle,IND,TE
145,Cameron Brate,TB,TE
146,Austin Seferian-Jenkins,JAC,TE
147,Anthony Miller,CHI,WR
148,Doug Martin,OAK,RB
149,LeGarrette Blount,DET,RB
150,Latavius Murray,MIN,RB
151,Matt Breida,SF,RB
152,Theo Riddick,DET,RB
153,Nyheim Hines,IND,RB
154,Mitch Trubisky,CHI,QB
155,Blake Bortles,JAC,QB
156,Charles Clay,BUF,TE
157,Case Keenum,DEN,QB
158,Eli Manning,NYG,QB
159,Bilal Powell,NYJ,RB
160,DeSean Jackson,TB,WR
161,Vance McDonald,PIT,TE
162,Paul Richardson,WAS,WR
163,Kenneth Dixon,BAL,RB
164,Tyler Lockett,SEA,WR
165,Eric Ebron,IND,TE
166,Hayden Hurst,BAL,TE
167,Chris Ivory,BUF,RB
